year	Primary_Occupations	Main_income	Main_Ocupation	Member_ALCS	Member_ALCS_year	Member_Society	Member_Society_year	Member_WGGB	Member_WGGB_year	Member_NUJ	Member_NUJ_year	Member_ALLi	Member_ALLi_year	Member_Other	Member_Other_year	Starting_Year	Importance_Books	Importance_Newspapers	Importance_Magazines	Importance_Theatre	Importance_Audio	Importance_Digital	Importance_Other	Importance_Other_Name	Books_Fiction	Books_Travel	Books_Nonfiction	Books_Academic	Books_Professional	Books_Children	Books_NonfictionChildren	Books_Educational	Books_Games	Audio_Film	Audio_FilmDocu	Audio_TVDrama	Audio_TVDocu	Audio_Children	Audio_TVComedy	Audio_TVSoap	Audio_RadioFiction	Audio_RadioNonFiction	Audiovisuals	Broadcasting	Downloading	Online	Rental	hh_income_2021	indiv_income_2021	writing_income_2021	Earn_Publishers	Earn_SelfPublication	Earn_PublicLending	Earn_ALCS	Earn_Awards	Earn_Grants	Earn_Fellowship	Earn_Teaching	Earn_Lectures	Earn_Crowfunding	Earn_Journalist	Earn_ComResearch	Earn_Copywriter	Earn_BookEdit	Earn_Academic	Earn_Translation	Earn_Others	hh_income_2020	indiv_income_2020	writing_income_2020	Covid_Impact_Earnings	Covid_Impact_Earnings_Info	Covid_Impact_Profession	Covid_Impact_Profession_Info	agent	legal_advise	legal_advise_whom	Copyright_confidence	cowriter	Copyright_concerns	Copyright_understand	Changed_contract	Change_contract_attempt	Changed_contract_Negotiations	Negotiation_fee	Negotiation_royalty	Negotiation_licence	Negotiation_attribution	Negotiation_integrity	Negotiation_warranties	Negotiation_reversion	Negotiation_other	self_publishing	self_publishing_types	self_publishing_comments	self_publishing_paid	buyout	buyout_percentage	buyout_percentage_change	reverse_clause	reverse_clause_use	reverse_clause_furtherearnings	advance	advance_change	royalty_paid	royalty_rate_hardback	royalty_rate_paperback	royalty_rate_ebooks	royalty_ebook	royalty_ebook_change	moral_rights	moral_rights_percent	moral_rights_dispute	moral_rights_dispute_grounds	MR_dispute_grounds_addition	Contractual_changes	Contract_clauses	Negotiation_perception	gender	age_group	ethnicity	housesize	edu	Training	country	PostCode	international	Issues_Survey	previous_surveys	Prize_draw	hh_income_2018	indiv_income_2018	writing_income_2018
2022	1	1	Author	1	2009	1	2020	0		0		0		1	2009	2009	1	6	5	4	3	2	7		1	8	3	5	6	2	4	7	9	1		2	8	7	3	4	5	6	1					46000	22000	2000	19	0	3.6	100	0	0	0	0	0	0											Decreased substantially	Author events cancelled, in-person workshops and book signings cancelled, lower publisher advances due to cited lower sales despite those sales occurring during three pandemic lockdowns. Bills have risen and I have had less income with which to cover them.	Very negative impact	I am working harder than I ever have in my twelve years as a publisher author, writing more books to try to make up for the shortfall in my earnings and not even breaking even. I am driven by panic because my profession is becoming unsustainable as a sole profession.	1	Never		Very confident	0	No	1		0		0	0	0	0	0	0	0	0	0				0			1	0	0	1	Substantially decreased	Percentage of net receipts	40-59%	20-39%	20-39%	Percentage of net receipts	They have stayed the same	No		0			Acceptance advances are no longer being paid on acceptance of initial draft but after the first substantial edit. This, due to publisher delays, can add between four and six months to the date I can expect to be paid which is crippling financially. 		Weakened	Female	45-54	White	3	Degree	1	E	DY3				1			
2022	1	1	13	1	1998	1	1998	0		0		0		0		1992	3	2	5	4	1	6	7	coaching/mentoring residential writing courses	1	8	3	9	6	2	5	4	7						2		1		1	1				1975	1975	1975	0	0	130	160				400		600	0	0	0	0	0	0		2000	1500	0	Decreased moderately	I would normally do a couple of workshop events (library, school) or a week's residential course at a literature centre, but have done no paid events at all.  Nor have I had any paying clients for editorial/writing tutoring/coaching	Negative impact	Lost touch with the hope of being read, being seen or heard - feels as if I've shrunk into a dry seed and don't know how to regrow. Previous plans seem unimportant and unlikely to be 'worthy' of publisher or agent acceptance. Health (physical and mental) has been worse, a lot of anxiety about how to keep going in terms of food, heat, power, and above all of there being something to look to in the future which might be positive.	0	Never		Moderately confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				0			1	0	0	0		Other						No		1	Integrity	BBC contracts usually ask a writer to waive their moral right so they can (they say) edit and alter material; purely because I dislike the idea of waiving any right, I have often asked for that clause to be removed or rephrased. 	I have not signed any contracts in the past year or so.		Not changed	Female	55-64	White	1	Other	1	S			You dont have a 'don't know' box to tick; and the assumptions/questions about sources of income are all rather 'at the professional level', whereas many of us (inc. me) scrub about in the less grand parts of the landscape of writing, where things are less organised and less certain. It may be a career, but there is no 'career path' for most of us. This disorganised aspect of earning from one's words is never really considered.. how one has to rely on tax credits, grants, small earnings for broadcast repeats, just to keep alive, let alone undertake 'a career'. As you should know, there are tides in the lives of all creative artists, long periods of being out of favour etc (esp for older women). Those, while hard to assess, are part of the wider picture of who gets paid for what and why.	3				
2022	1	1	Author	0		0		0		0		0		0		2015	1	5	6	4	3	2	7		1	2	3	4	5	7	6	8	9										0						37000		37000																				Increased substantially		Very positive impact		0	Yes, as a matter of course	Lawyer	Moderately confident	0	No	0	1	1		0	0	0	0	0	0	1	0	0				0			1	1	1	0		Percentage of retail/publisher's price		0-19%	40-59%	Percentage of retail/publisher's price	They have gone up substantially	No		0					Not changed	Female	35-44													
2022	0	0	Author	1	2020	1	2015	0		0		0		0		2014	1	3	4	5	6	2	7		1	6	3	7	8	2	4	9	5										0						30000	6000	6000		50	50																	Increased moderately	Now that my ‘day-job’ is 100% remote I have more time to be able to write. I also secured my book deal three months before the pandemic began.	Negative impact	Lack of face to face meetings with editor and agent. No promotional events.	1			Moderately confident	0	No			0		0	0	0	0	0	0	0	0	0				0			0			1	Slightly increased	Percentage of retail/publisher's price				Percentage of retail/publisher's price				0					Not changed	Female	35-44	White	3	Masters	1	E	HA8				1			
2022	1	1	Author	1	2020	1	2020	0		0		0		0		2016	2	4	5	6	3	1	7																				0					280000	170000	170000	170000	3	51	46														360000	258000	258000	Stayed the same	Royalties did decrease but there's no hard evidence this had anything to do with Covid-19	No impact		0	Never		Moderately confident	0	No	1		0		0	0	0	0	0	0	0	0	0				0			1	0		1	No change	Percentage of retail/publisher's price		0-19%	20-39%	Percentage of retail/publisher's price	They have stayed the same	No		0			None	No	Not changed	Male	55-64	White	4	Degree	1	E	BS35				1			
2022	1	0	Author/illustrator	0		0		0		0		0		1	2021	2019	2	6	4	7	5	3	1	Short Fiction	1	4	5	2	6	3	7	8	9										0					53000	1000	600	460	20	0	0	0	0	0	0	20	100								49000	2000	200	Decreased substantially	I've been solely responsible for homeschooling my child during lockdown so I've had no time to chase my publisher for earnings, or to do the advertising my publisher can/will not do. I also haven't had time to research new places to sell work. Anthology publications have been repeatedly pushed back due to paper shortages and staff availability	Very negative impact	Homeschooling and my partner working from home have entirely destroyed my time/space to write. Post-Covid symptoms have left me in too much pain to focus, depression from losing people in the pandemic has quashed my desire to write.   My publisher has been even less responsive during the pandemic than before. I have not had the time to research where I can find help with getting payments from my publisher (they will not release my sale figures or last years earnings so I don't know if the Society of Authors would accept me even if I could afford it).  My publisher declared that they would no longer be paying on the twice yearly terms detailed in our contract and switched to once yearly, leaving me in financial hardship. They've now missed the once yearly date but as I have no earnings I have no way to afford help to obtain my earnings.	0	Never		No confidence	0	Don't know	0	0	0		0	0	0	0	0	0	0	0	1	Electronic publication	Published a short story on Ko-Fi as a PDF, took about an hour, barely advertised it but made more in a day than I was paid on a whole novel in the previous year.	0	0			1	0	0	0		Percentage of retail/publisher's price	0-19%	0-19%	40-59%	Percentage of retail/publisher's price	They have gone down	Don't know		0			Total disregard of contracts by publisher--payment schedule changed, never paid, refused requests for information regarding my work, failed to send contractual author copies or sent damaged/misprinted copies.	Requirement to buy back unsold print copies after five years but publisher has ignored questions about how many would be printed	Weakened	Non-binary	35-44	White	3	Degree	1	E	S66		Becoming a writer was the biggest financial mistake of my life, I am far worse off now than I have ever been previously		1			
2022	1	1	Author	1		1		0		0		0		1	CWA - 1983	1981	1	2	4	5	6	3	7																				0					70000	50000	50000	45000	1000	2500	300				1200										60000	42000	42000	Increased moderately	Fewer travel costs, less spent on holidays and entertaining outside the home. 	No impact	I work mainly at home in my  office so writing itself hasn’t been directly affected. But on the downside I’ve been able to do much less professional networking, promoting and research outside the home. I’ve missed that, and it’s certainly affected quality of life. 	1	Yes, as a matter of course	Other	Moderately confident	0	Yes	1	0	0		0	0	0	0	0	0	0	0	0				0			1	1	1	1	Slightly increased	Percentage of net receipts	0-19%	0-19%	20-39%	Percentage of net receipts	They have stayed the same	No		0			None.		Not changed	Male	65-74	White	2	Masters	1	E	GL16		- Erosion of literary copyright is a growing danger					
- authors receiving a diminishing share of the publishing cake																																																																																																																																					
- the major publishers’ growing tendency to demand all rights (except translation)																																																																																																																																					
- the pathetically inadequate level of ebook royalties	3	1																																																																																																																																			
2022	1	1	Author	1		0		0		0		0		0		2018	1	5	3	4	6	2	7		2	3	1	4	5	6	7	8	9										0					45000	6000	2000	700		23	130					300									42000	6000	1300	Decreased substantially		Negative impact	Not been able to promote books by doing talks and book signings	0	Never		Very confident	0	No	1		0		0	0	0	0	0	0	0	0	0				0			1	0		1	Substantially decreased	Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have stayed the same	No		0			Initial payment of advance has gone from being paid at the time of signing the contract, to submission of manuscript.		Weakened	Female	45-54	White	3	University entry	1	E	DN10				0			
2022	0	0	13	1	2017	0		0		0		0		0		2016	4	5	2	6	7	3	1	Graphic Design for other writers' literary projects	1	6	2	5	7	4	8	9	3										0					32000	8000	2500	425	50		25		2000					100		100				200	24000	10000	200	Decreased moderately	Before the pandemic I was working part time as a bookseller (£9,000 per year) and as a freelance writer, editor and designer (between £2,000 and £4,000), with a position on a leading literary magazine. I'd just published a joint-edited anthology with a well-known publisher in Scotland, and was on track to publish my own collection of fiction with another new small publisher. When the pandemic hit, my bookseller job put me on furlough, my anthology publisher ran into a rough patch (as did everyone), and my prospective collection publisher folded. When my bookseller job opened up again, prior to any vaccine roll-out, the health and safety provisions were all but non-existent, and for the sake of physical and mental health, I quit. (While this was a decision I made myself, I do consider it a knock-on effect of the pandemic, as I would have stayed on had management taken the new challenges of operating under a pandemic seriously.)  In 2021, my collection of fiction found a home with a publisher in the USA - in retrospect, I should have waited to place it with a more stable publisher closer to home who knew how to market the book to a local audience, especially as the publisher has stated that as a result of COVID damaging their own financial stability, they plan to wrap everything up and close shop by the end of 2022. I've been lucky in other ways, though - the anthology was partly funded by Creative Scotland, which meant I was able to apply for their COVID support grants, and my position on the magazine board as designer and editor has provided some regular work. However, compared to 2019, I'm now fully freelance, and entering 2021 have no income currently lined up for the coming year, writing or otherwise. I'm putting myself out there to secure work, and hoping my publisher lucks into a lucrative marketing strategy, but it's feeling very unlikely!	Negative impact	The knock-on effects of the pandemic on previously stable or hopeful aspects of my professional life have massively reduced my productivity, and ramped up my background stress-levels. I've lost my stable part-time income to cover basic outgoings, so much of the time I could be writing, I'm spending designing and editing for the literary projects of my peers, or hustling for work. Meanwhile, what felt like a rising trajectory as editor and writer has been scuppered. After losing what felt like a good relationship with a local publisher when they folded, I panicked and sold my debut collection to the first publisher to show interest. Being based in the USA and (to put it politely) with too much on their own plate to dedicate themselves to any of their authors in a meaningful and supportive way, this was in retrospect a mistake. COVID pushed them to their limit, and they now plan to wrap everything up by the end of 2022, locking me into a five-year contract with a publisher who won't exist within a year and a half of publishing my book. It's not ideal.  I've also been trying to write a satirical dystopian sci-fi for the last six years, with key themes being global inequality, insular ideas of nationality, mass delusion, scientific scepticism, food inequality and governmental corruption. All of this was relevant before the pandemic hit, but experiencing it dialed up to apocalyptic levels in real-time really sucked the life out of the project. I'm still intending to finish the book, because I've never finished anything this length before, and I think there's merit in reaching the finish line, but the last two years have been a slog, and my heart isn't in it any more. That, combined with my collection being a minor flop due to poor publisher support, has really damaged my confidence in knowing what the heck I'm doing with my professional life, as far as writing is concerned.	0	Never		Moderately confident	0	No	1	0	0		0	0	0	0	0	0	0	0	1	Electronic publication	Before I secured a publisher, I put out a zine of some fiction and poetry that wasn't included in my collection. I've a professional background of printing and design so putting it together and getting it produced wasn't difficult for me, but distribution's been tricky during COVID and I've still to make back the money I spent in production.	1	0			0			0		Other	0-19%	40-59%	40-59%	Other	They have stayed the same	Don't know		0				I signed a five year contract with a publisher who decided a year after publication to start closing up shop. That feels pretty problematic to me.	Not changed	Male	35-44	White	2	Degree	1	S	G20		As someone earning the majority of my income from literary-adjacent work - design and editorial - the initial segment was a little difficult to navigate. It's not writing, but I do make money from writing, just not enough to confidently answer questions on income which don't allow for a jack-of-all-trades portfolio career that includes roles that exclusively feed into the literary sector without being literary themselves. I understand why the survey is the way it is though! I just also know *so many* people who have a writing career, *and* a writing-adjacent career that is neither journalistic or academic - and journalism and academia have very high barriers to entry, whether financial or social connections. A broader understanding of how people find their way to writing as a career would have made the earlier part of the survey easier to navigate.		1			
2022	1	1	Author	1		0		0		0		0		1	2000	1997	1	4	3	7	5	2	6		1	6	2	7	3	8	5	4	9										0					50000	32000	4235	3258		366	353				270										50000	30000	3163	Stayed the same		Negative impact	No chance to meet other writers or readers. Loss of networking opportunities. Loss of motivation																																																											
	0	Never		Moderately confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of net receipts	0-19%	0-19%	20-39%	Percentage of net receipts	They have stayed the same	No		0					Not changed	Female	65-74	White	2	Diploma	1	E	UB10			3	1																																																																													
2022	0	0	Poet	1		0		0		0		0		0		2012	1	4	3	5	6	2	7		1	4	5	2	3	6	7	8	9										0					50000	35000	500	180	140		180														46000	33000	500	Stayed the same		Negative impact	Less opportunity for inperson events, book launches, book sales	0	Never		Very confident	0	Yes	1	0	0		0	0	0	0	0	0	0	0	0				0			1	0	0	0								No		0					Not changed	Other/prefer not to say	55-64	White	2	Masters	1	W								
2022	0	1	Author	1	2021	0		0		0		0		0																													0																																										0	0	0	0	0	0	0	0																																									
2022	0	0	Author	1	2019	1	2019	1	2000-2004	0		0		0		2019	1	5	6	4	7	2	3	Advertising copy	1	2	4	3	5	6	7	8	9										0					21000	20740	260	212		42														13000	47000	47000		Decreased moderately	I lost my salaried job in May 2020 and was unemployed until January 2021. I was in receipt of Universal credit from August 2020 to January 2021. The amount of universal credit I received left me £140 pcm after my rent was paid, and I used savings to make up the shortfall.	Negative impact	My book launched in November 2020 over Instagram and I have only been able to attend two live events since, which has undoubtedly affected my sales.	0	Yes, as a matter of course	Professional body/union	Moderately confident	0	No	1	0	1	I was offered a contract from a publisher which pulled the offer when I refused to give them 50% of all adaptation rights	0	1	1	0	1	0	1	1	0				0			1	0		0		Other		0-19%		Other	They have stayed the same	No		0					Weakened	Female	35-44	White	1	Degree	1	E	SE12				1			
2022	1	0	Translator	1	2018	1	2014	0		0		0		1	2008	2004	1	2	3	6	5	4	7		1	9	2	4	5	3	6	7	8										0					40000	40000	35000	0	0	100	100	0	9000	0	2000	1000	0				1000		30000		40000	40000	35000	Stayed the same		Negative impact	Increased anxiety, no in-person contact with other writers and translators, fewer opportunities to promote work 	0	Never		Moderately confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				1	10-39%	Decreased	1	0	0	1	Slightly increased	Percentage of net receipts	0-19%	0-19%	20-39%	Percentage of net receipts	They have gone up	No		0					Improved	Female	45-54	White	2	Degree	1	Other		1			1			
2022	0	0	Academic	1		1		0		0		0		0		2005	2	3	1	4	5	6	7		2	3	4	1	5	6	7	8	9										0																												Decreased substantially	Lost of professional activities, like consultancy and advisory	Negative impact	Loss of networking opportunities	0	Never		Moderately confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have stayed the same	No		0			none	no	Not changed	Female	45-54	White	4	PhD	1	Other		1	No		0			
2022	1	1	Scriptwriter	1	2020	0		1	2019	0		0		0		2019	2	3	4	5	1	6	7											2		1							1					120	61	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	37	37	Stayed the same	Several of the TV productions I worked on during the pandemic were delayed, so payments were substantially delayed, but have been paid now. As projects were delayed I was working on them for longer than I otherwise might have been, so I lost out on working on other, new, projects.	Negative impact	I found the isolation of lockdown very hard to deal with in terms of the impact on my mental health. I think the lack of ability to see people and travel also affected my creativity.	1	Yes, as a matter of course	Agent	Moderately confident	0	No	0	1	1	The contract was negotiated by my agent, but he sought to get improvements on pay and conditions and in some cases he got them	1	1	0	1	0	0	1	0	0				1	10-39%	Stayed the same	1	0		0		Percentage of net receipts						No		0			I've been doing more work for streamers (Apple, Netflix) and they don't pay royalities but pay a higher SUA buying out all rights (125% as opposed to 100% for BBC, ITV, SKY etc) 		Improved	Female	45-54	White	2	Degree	1	E	W12				0			
2022	1	1	Scriptwriter	0		0		1		0		0		0		1991	2	5	6	1	3	4	7		1	9	3	8	4	2	5	6	7	1		2							1		1			12000	12000	12000	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000	12000	8000	Decreased substantially	Loss of earnings through lack of opportunities.	Very negative impact	Increased productivity in new areas, eg children’s fiction	0	Yes, as a matter of course	Professional body/union	Moderately confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1	Substantially decreased	Percentage of net receipts	20-39%	20-39%	40-59%	Percentage of retail/publisher's price	They have stayed the same	No		0					Improved	Male	55-64	White	2	Masters	1	E	HG3				1			
2022	1	0	13	1		0		0		1		0		0		2015	4	3	1	6	5	2	7		6	2	3	4	1	5	7	8	9										0																												Decreased moderately		Negative impact		0	Never		Moderately confident	0	Don't know		0	0		0	0	0	0	0	0	0	0	0				0			0			0										0					Not changed	Male	55-64	White	2	University entry	1	E	SY5		Little of this survey is relevant to me and a number of the questions, relating to income, I was not prepared to answer 					
2022	0	0	13	1		0		0		0		0		0		1992	4	5	1	6	7	3	2	Facebook posts to sell character merchandise	6	5	1	4	3	8	7	9	2										0					6800	6800	3000																		12000	12000	9000	Decreased substantially	Main client basically shut down since a large amount of their sales took place face to face	Positive impact	I can branch out a bit. I was sick of doing the work!!	0	Never		Very confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				1	10-39%	Increased	1	0	0	1	Substantially decreased	Percentage of retail/publisher's price	0-19%	0-19%				No		0			Too many outlets want to buy work outright and treat me as some kind of low-level production line operative - even if unpaid!!! I prefer not to work for them at all under such circumstances.		Improved	Female	45-54	White	1	Degree	1	E	WR15				1			
